HJD,MAG,ERR,SRV
2841.72816,0.02400000000000091,0.009,OGLE-III
2843.6547,-0.054999999999999716,0.012,OGLE-III
2845.66532,-0.07000000000000028,0.009,OGLE-III
2850.53334,0.14199999999999946,0.009,OGLE-III
2852.54574,-0.04899999999999949,0.01,OGLE-III
2854.54947,-0.058999999999999275,0.008,OGLE-III
2856.73981,-0.12099999999999866,0.013,OGLE-III
2858.69246,0.1490000000000009,0.01,OGLE-III
2862.60517,0.14700000000000202,0.012,OGLE-III
2865.70875,0.019000000000001904,0.009,OGLE-III
2868.59495,0.11299999999999955,0.009,OGLE-III
2876.59127,-0.09600000000000009,0.008,OGLE-III
2879.64154,0.11500000000000199,0.014,OGLE-III
2884.6719,0.07700000000000173,0.011,OGLE-III
2892.66027,-0.06199999999999939,0.011,OGLE-III
2895.63398,0.16100000000000136,0.009,OGLE-III
2900.5622,0.129999999999999,0.011,OGLE-III
2906.5141,-0.0129999999999999,0.011,OGLE-III
2911.53826,0.0940000000000012,0.01,OGLE-III
2918.56228,-0.04899999999999949,0.01,OGLE-III
2930.58327,-0.10699999999999932,0.009,OGLE-III
3059.81875,-0.1039999999999992,0.008,OGLE-III
3064.83557,-0.004999999999999005,0.01,OGLE-III
3068.78945,0.06099999999999994,0.011,OGLE-III
3070.86804,-0.03500000000000014,0.009,OGLE-III
3073.82413,0.1490000000000009,0.009,OGLE-III
3075.86221,0.0,0.008,OGLE-III
3079.90709,0.10999999999999943,0.009,OGLE-III
3082.89011,-0.08999999999999986,0.008,OGLE-III
3085.82473,0.07000000000000028,0.008,OGLE-III
3086.89711,0.09299999999999997,0.008,OGLE-III
3088.81732,-0.013999999999999346,0.008,OGLE-III
3090.73042,-0.04100000000000037,0.008,OGLE-III
3096.88561,0.16100000000000136,0.01,OGLE-III
3098.9055,-0.025000000000000355,0.008,OGLE-III
3099.91888,-0.11800000000000033,0.009,OGLE-III
3101.75755,-0.006999999999999673,0.009,OGLE-III
3103.79049,-0.08499999999999908,0.008,OGLE-III
3104.84913,-0.0649999999999995,0.015,OGLE-III
3106.86242,0.14199999999999946,0.01,OGLE-III
3108.78243,-0.08399999999999963,0.008,OGLE-III
3109.84188,-0.1120000000000001,0.008,OGLE-III
3110.84823,-0.06799999999999962,0.01,OGLE-III
3112.83354,0.125,0.008,OGLE-III
3114.79814,-0.13699999999999868,0.008,OGLE-III
3116.88608,-0.07199999999999918,0.01,OGLE-III
