HJD,MAG,ERR
5993.83627,15.940,0.007
5994.81126,16.090,0.007
5994.89547,16.168,0.007
5995.82423,15.327,0.004
5995.90799,15.696,0.006
5996.85004,15.880,0.006
5997.80584,16.065,0.007
5997.89218,16.080,0.006
5998.84376,15.512,0.005
5999.78475,15.585,0.006
5999.86574,15.833,0.006
6003.85404,16.026,0.007
6004.78587,16.081,0.007
6004.88225,16.195,0.007
6005.80351,15.324,0.004
6005.90884,15.761,0.005
6006.82856,15.887,0.005
6006.91719,16.047,0.007
6007.82995,16.056,0.006
6007.91582,16.212,0.007
6008.82375,15.505,0.005
6008.91137,15.651,0.006
6009.82639,15.799,0.005
6009.91082,15.982,0.006
6010.81808,16.045,0.006
6010.90566,16.085,0.006
6011.79814,16.140,0.007
6011.91181,15.481,0.005
6012.81303,15.631,0.005
6012.90924,15.882,0.005
6013.80693,15.979,0.006
6013.90970,16.070,0.006
6014.78327,16.088,0.006
6014.88204,16.000,0.007
6015.76123,15.639,0.005
6016.74105,15.713,0.005
6016.82139,15.915,0.006
6017.73088,16.008,0.007
6017.80737,16.053,0.006
6017.90485,16.158,0.006
6018.79614,15.712,0.005
6018.87782,15.600,0.005
6019.77435,15.709,0.006
6019.87084,15.935,0.005
6020.72929,15.921,0.006
6020.82393,16.069,0.006
6020.90239,16.123,0.007
6021.76248,16.098,0.007
6021.84022,15.512,0.005
6022.71077,15.430,0.006
6022.78748,15.619,0.005
6022.88360,15.878,0.005
6023.74345,15.865,0.006
6023.82370,16.037,0.006
6024.70214,16.057,0.007
6024.78076,16.105,0.007
6024.89248,15.322,0.005
6025.75585,15.335,0.005
6025.84889,15.707,0.006
6031.87727,15.518,0.006
6032.82160,15.787,0.005
6033.74408,15.919,0.007
6034.69314,16.065,0.007
6034.92800,15.587,0.005
6036.79534,15.949,0.006
6036.82041,16.004,0.005
6037.76935,16.077,0.007
6038.73825,16.133,0.007
6039.73293,15.710,0.006
6039.92315,16.071,0.006
6040.91000,16.110,0.007
6041.86254,15.547,0.005
6046.90863,16.089,0.006
6047.79988,16.099,0.006
6048.74003,15.578,0.005
6048.92993,15.923,0.006
6049.86132,16.041,0.006
6050.73682,16.066,0.006
6050.92476,15.328,0.005
6052.75239,15.716,0.005
6052.90991,16.048,0.006
6053.78311,16.050,0.006
6054.88036,15.535,0.005
6058.80218,15.622,0.005
6059.69873,15.719,0.005
6059.87398,16.063,0.006
6061.76337,15.389,0.004
6061.93007,15.875,0.006
6062.82349,15.930,0.006
6063.79266,16.066,0.007
6064.71620,16.094,0.006
6064.90052,15.704,0.005
6065.73585,15.582,0.005
6066.66437,15.781,0.005
6066.84747,16.095,0.006
6067.65116,16.038,0.006
6067.82847,15.652,0.005
6068.65165,16.186,0.007
6068.87059,15.865,0.005
6069.60593,15.415,0.005
6069.81297,16.042,0.006
6070.61557,15.897,0.007
6070.78053,16.099,0.006
6071.58859,16.071,0.007
6071.75492,15.322,0.004
6071.92495,15.916,0.007
6075.74105,15.672,0.005
6076.60232,15.649,0.005
6076.78702,16.057,0.006
6077.70285,16.081,0.006
6077.90334,15.658,0.005
6078.70045,15.329,0.004
6078.88680,15.960,0.006
6079.68035,15.785,0.005
6079.88086,16.084,0.006
6080.64811,16.016,0.006
6080.82551,16.129,0.006
6081.60545,16.091,0.007
6081.77883,15.532,0.005
6082.59751,15.325,0.006
6082.80336,15.992,0.007
6082.88147,16.071,0.010
6085.60098,16.089,0.007
6085.77444,15.835,0.006
6085.93218,16.073,0.007
6086.71713,15.993,0.006
6086.89986,16.155,0.007
6087.80837,15.323,0.004
6088.65196,15.743,0.005
6089.76571,16.021,0.005
6092.61224,15.468,0.004
6092.89711,16.077,0.007
6093.69229,16.062,0.006
6094.55598,16.044,0.007
6094.75270,15.325,0.004
6094.91439,15.898,0.007
6096.76392,16.076,0.007
6097.66680,16.077,0.007
6097.85385,15.620,0.005
6098.64926,15.328,0.005
6098.83001,15.915,0.006
6099.83939,16.094,0.007
6100.68598,16.087,0.006
6100.86319,15.503,0.005
6101.62782,16.204,0.007
6101.80717,15.782,0.006
6102.60239,15.518,0.005
6102.76823,15.995,0.006
6103.51849,15.720,0.006
6103.69736,16.052,0.006
6104.51985,16.036,0.006
6104.68087,16.185,0.006
6104.84735,15.789,0.006
6105.60533,15.356,0.005
6106.56838,15.747,0.006
6108.60827,15.851,0.006
6108.78256,15.863,0.006
6109.76869,16.085,0.008
6109.85478,16.146,0.007
6113.57931,15.908,0.007
6113.73778,16.072,0.007
6114.58760,16.103,0.007
6114.75903,15.549,0.005
6115.52406,16.207,0.007
6115.71200,15.822,0.006
6116.56460,15.811,0.005
6116.74663,16.079,0.006
6117.54232,16.046,0.007
6117.72120,15.810,0.006
6118.49491,16.092,0.007
6118.67939,15.608,0.005
6118.83503,16.027,0.006
